A0292,DERLLY,GONZÁLEZ GONZÁLEZ- ERNESTO MÁRQUEZ NEREY  ,1,2023-09-10
A0293,DIANA,BRIUOLO DESTÉFANO     ,1,2023-09-10
A0294,DIANA,CHANQUÍA      ,1,2023-09-10
A0295,DIANA,CHORNE Y MARIO GOLDENBERG (COMPILADORES)  ,1,2023-09-10
A0296,DIANA,COHEN AGREST     ,1,2023-09-10
A0297,DIANA,TIZNADO PALMIERI     ,1,2023-09-10
A0298,DÍAZ,DE MITOTE- ALONSO NÚÑEZ   ,1,2023-09-10
A0299,DIEGO,BIANKI      ,1,2023-09-10
A0300,DIEGO,DE BASALENQUE     ,1,2023-09-10
A0301,DIONICIO,MORALES      ,1,2023-09-10
A0302,DIRECCIÓN,DE MUSEOS DE PUEBLA   ,1,2023-09-10
A0303,DIRECCION,GENERAL DE PLANEACIÓN Y DESARROLLO EN ,1,2023-09-10
A0304,DOLORES,ROLDÁN      ,1,2023-09-10
A0305,DOMINGO,CHIMALPÁHIN      ,1,2023-09-10
A0306,DOMINICK,LACAPRA      ,1,2023-09-10
A0307,DONALD,GRANT      ,1,2023-09-10
A0308,DOSTOIEVSKI,Y KORKOS Y MAIROWITZ   ,1,2023-09-10
A0309,DR.,AURELIO BALDOR     ,1,2023-09-10
A0310,DR.,ISRAEL LERMAN GARBER    ,1,2023-09-10
A0311,DR.,J. ARMANDO BERRIGUETE MELÈNDEZ   ,1,2023-09-10
A0312,DR.,JORGE OSEGUERA MOGUEL    ,1,2023-09-10
A0313,DR.,SIMÓN MOCHÓN COHÉN    ,1,2023-09-10
A0314,DR.J.,ARMANDO BARRIGUETE MÉLENDEZ    ,1,2023-09-10
A0315,DUANE,BARNHART      ,1,2023-09-10
A0316,E.,A. FITZ PATRICK    ,1,2023-09-10
A0317,E.REYNOSO,(COORDINADOR)      ,1,2023-09-10
A0318,ÉDGAR,ADRIÁN MORA     ,1,2023-09-10
A0319,EDGAR,ALLAN POE     ,1,2023-09-10
A0320,EDGAR,CEBALLOS      ,1,2023-09-10
A0321,EDGAR,ROMÁN      ,1,2023-09-10
A0322,EDGARDO,DOBRY      ,1,2023-09-10
A0323,EDILBERTO,ALDÁN (ANTOLOGADOR)     ,1,2023-09-10
A0324,EDITORES,DE CPI     ,1,2023-09-10
A0325,EDMÉE,PARDO      ,1,2023-09-10
A0326,EDMÉE,PARDO      ,1,2023-09-10
A0327,EDMUNDO,DE AMICIS     ,1,2023-09-10
A0328,EDMUNDO,O'GORMAN      ,1,2023-09-10
A0329,EDUARDO,ANTONIO PARRA     ,1,2023-09-10
A0330,EDUARDO,CONTRERAS SOTO     ,1,2023-09-10
A0331,EDUARDO,DEL RÍO     ,1,2023-09-10
A0332,EDUARDO,ESPINOZA CAMPOS     ,1,2023-09-10
