ED0248,PLAZA & JANES EDITORES,1,2023-09-10
ED0249,PLAZA Y VALDEZ,1,2023-09-10
ED0250,PLURALIA EDICIONES,1,2023-09-10
ED0251,POMAIRE,1,2023-09-10
ED0252,PORRÚA,1,2023-09-10
ED0253,PORTAFFOLIO,1,2023-09-10
ED0254,PRD,1,2023-09-10
ED0255,PRENTICE-HALL,1,2023-09-10
ED0256,PROMEXA,1,2023-09-10
ED0257,PUNTO DE ENCUENTRO,1,2023-09-10
ED0258,RANDOM HOUSE MONDADORI,1,2023-09-10
ED0259,RAYA EN EL AGUA,1,2023-09-10
ED0260,READER'S DIGEST,1,2023-09-10
ED0261,REAL ACADEMIA ESPAÑOLA,1,2023-09-10
ED0262,REGIONES,1,2023-09-10
ED0263,RESISTENCIA,1,2023-09-10
ED0264,REVERTÉ,1,2023-09-10
ED0265,REVERTÉ EDICIONES,1,2023-09-10
ED0266,REY NARANJO,1,2023-09-10
ED0267,RÍOS Y RAÍCES,1,2023-09-10
ED0268,SALAMANDRA,1,2023-09-10
ED0269,SALAS DE LECTURA,1,2023-09-10
ED0270,SALVAT,1,2023-09-10
ED0271,SANTILLANA,1,2023-09-10
ED0272,SECRETARIA DE CULTURA,1,2023-09-10
ED0273,SECRETARIA DE DESARROLLO SOCIAL,1,2023-09-10
ED0274,SECRETARÍA DE EDUCACIÓN DE NUEVO LEÓN,1,2023-09-10
ED0275,SECRETARÍA DE EDUCACIÓN PÚBLICA,1,2023-09-10
ED0276,SECRETARÍA DE GOBERNACIÓN,1,2023-09-10
ED0277,SECRETARIA DE RELACIONES EXTERIORES,1,2023-09-10
ED0278,SECRETARIA DEL CULTURA,1,2023-09-10
ED0279,SEIX BARRAL,1,2023-09-10
ED0280,SELECTOR,1,2023-09-10
ED0281,SELLO BERMEJO,1,2023-09-10
ED0282,SERPENTINA,1,2023-09-10
ED0283,SEXTO PISO,1,2023-09-10
ED0284,SIGLO XXI EDITORES,1,2023-09-10
ED0285,SINTESIS,1,2023-09-10
ED0286,SOL 90,1,2023-09-10
ED0287,SOUTH-WESTERN PUBLISHING,1,2023-09-10
ED0288,ST EDITORIAL,1,2023-09-10
ED0289,SUMMA MEXICANA,1,2023-09-10
ED0290,SUPREMA CORTE DE JUSTICIA DE LA NACIÓN,1,2023-09-10
ED0291,TÀNDEM EDICIONES,1,2023-09-10
ED0292,TAURUS,1,2023-09-10
ED0293,TERCER MILENIO,1,2023-09-10
ED0294,TERRACOTA,1,2023-09-10
ED0295,THE BHAKTIVEDANTA BOOKTRUST,1,2023-09-10
ED0296,THEMA,1,2023-09-10
ED0297,THULE EDICIONES,1,2023-09-10
ED0298,TIERRA ADENTRO,1,2023-09-10
ED0299,TIRRA FIRME,1,2023-09-10
ED0300,TRAMUNTANA,1,2023-09-10
ED0301,TRILCE EDICIONES,1,2023-09-10
ED0302,TRILLAS,1,2023-09-10
ED0303,TROVA,1,2023-09-10
ED0304,TURNER LIBROS,1,2023-09-10
ED0305,TUSQUETS,1,2023-09-10
ED0306,ULTRA,1,2023-09-10
ED0307,ULTRAMAR,1,2023-09-10
ED0308,UNAM,1,2023-09-10
ED0309,USBORNE,1,2023-09-10
ED0310,VASO ROTO,1,2023-09-10
ED0311,VERGARA Y RIBA ,1,2023-09-10
ED0312,VERTICALES DE VOLSILLO,1,2023-09-10
ED0313,VICENS VIVES,1,2023-09-10
ED0314,VISOR LIBROS,1,2023-09-10
ED0315,ZACATECOS,1,2023-09-10
